Column Name,Suggested Type,Null Ratio (%),Distinct Value Count,Most Common Values (Top 10)
Unnamed: 0,integer,0.0,1645760,"{0: 1, 1097170: 1, 1097180: 1, 1097179: 1, 1097178: 1, 1097177: 1, 1097176: 1, 1097175: 1, 1097174: 1, 1097173: 1}"
BEGIN_YEARMONTH,integer,0.0,337,"{200806: 14589, 202307: 13606, 201104: 12038, 201106: 11888, 201207: 11471, 202308: 10918, 199806: 10765, 202306: 10701, 200906: 10421, 201006: 10069}"
BEGIN_DAY,integer,0.0,31,"{1: 138257, 10: 56251, 9: 55039, 22: 53689, 24: 53340, 13: 53172, 8: 52955, 21: 52751, 11: 52505, 7: 52112}"
BEGIN_TIME,integer,0.0,1440,"{0: 124893, 1200: 34949, 1800: 29007, 600: 27906, 1100: 27834, 1000: 26451, 1600: 24366, 1500: 24025, 1700: 22548, 900: 21669}"
END_YEARMONTH,integer,0.0,337,"{200806: 14589, 202307: 13606, 201104: 12038, 201106: 11888, 201207: 11471, 202308: 10918, 199806: 10765, 202306: 10701, 200906: 10421, 201006: 10069}"
END_DAY,integer,0.0,31,"{31: 82959, 30: 76671, 10: 56028, 9: 55948, 24: 53637, 13: 53606, 28: 53426, 7: 53306, 22: 52734, 11: 52051}"
END_TIME,integer,0.0,1440,"{2359: 93892, 1800: 47164, 1200: 37800, 1900: 31624, 1700: 31131, 2000: 29978, 1600: 28793, 1000: 27147, 900: 26560, 800: 26413}"
EPISODE_ID,floating,0.0001822866031499125,375458,"{2406299.0: 258, 142499.0: 251, 175359.0: 232, 180221.0: 229, 2078644.0: 226, 49419.0: 209, 1115592.0: 194, 178154.0: 185, 184038.0: 182, 164574.0: 182}"
EVENT_ID,integer,0.0,1645760,"{5570068: 1, 566835: 1, 567139: 1, 568261: 1, 568262: 1, 568260: 1, 568258: 1, 568257: 1, 568255: 1, 568253: 1}"
STATE,string,6.076220104997084e-05,70,"{'TEXAS': 120325, 'KANSAS': 73451, 'MISSOURI': 57758, 'IOWA': 57318, 'OKLAHOMA': 55814, 'ILLINOIS': 52728, 'NEBRASKA': 50256, 'VIRGINIA': 49787, 'KENTUCKY': 46709, 'NEW YORK': 46627}"
STATE_FIPS,floating,6.076220104997084e-05,69,"{48.0: 120325, 20.0: 73451, 29.0: 57758, 19.0: 57318, 40.0: 55814, 17.0: 52728, 31.0: 50256, 51.0: 49787, 21.0: 46712, 36.0: 46627}"
YEAR,integer,0.0,29,"{2011: 79091, 2023: 74909, 2008: 71190, 2022: 69882, 2019: 67861, 2012: 64503, 2010: 62807, 2018: 62697, 2021: 61389, 2020: 61279}"
MONTH_NAME,string,0.0,12,"{'June': 232641, 'July': 211541, 'May': 190179, 'August': 154749, 'April': 150485, 'January': 139814, 'February': 123670, 'March': 120908, 'December': 110820, 'September': 81033}"
EVENT_TYPE,string,0.0,57,"{'Thunderstorm Wind': 409344, 'Hail': 319711, 'Flash Flood': 100401, 'High Wind': 87803, 'Winter Storm': 86047, 'Winter Weather': 76766, 'Drought': 75017, 'Heavy Snow': 71751, 'Flood': 65637, 'Tornado': 39066}"
CZ_TYPE,string,0.0,3,"{'C': 978160, 'Z': 660087, 'M': 7513}"
CZ_FIPS,integer,0.0,652,"{3: 31620, 1: 28269, 19: 26451, 5: 26179, 13: 25039, 9: 24040, 15: 24018, 17: 23763, 7: 23740, 31: 22758}"
CZ_NAME,string,0.0,5476,"{'WASHINGTON': 13475, 'JEFFERSON': 12525, 'JACKSON': 11182, 'FRANKLIN': 10819, 'MONTGOMERY': 10461, 'MADISON': 10058, 'LINCOLN': 9568, 'CLAY': 7724, 'UNION': 7290, 'MARION': 7155}"
WFO,string,0.0001822866031499125,125,"{'LWX': 50503, 'PHI': 43445, 'PAH': 40569, 'OUN': 38180, 'DMX': 30386, 'FFC': 28757, 'FSD': 27709, 'FWD': 26857, 'GSP': 25812, 'JAN': 24573}"
BEGIN_DATE_TIME,string,0.0,826256,"{'01-JUL-12 00:00:00': 1163, '01-AUG-12 00:00:00': 1129, '01-SEP-12 00:00:00': 998, '01-OCT-12 00:00:00': 883, '01-NOV-12 00:00:00': 809, '01-DEC-12 00:00:00': 789, '01-FEB-11 00:00:00': 773, '01-SEP-11 00:00:00': 768, '01-JAN-13 00:00:00': 742, '01-FEB-13 00:00:00': 740}"
CZ_TIMEZONE,string,0.0,19,"{'CST-6': 515482, 'EST-5': 384868, 'CST': 264708, 'EST': 201968, 'MST-7': 129271, 'MST': 51542, 'PST-8': 48293, 'PST': 18237, 'HST-10': 10970, 'AST': 6506}"
END_DATE_TIME,string,0.0,811318,"{'31-JUL-12 23:59:00': 1107, '31-AUG-12 23:59:00': 1009, '30-JUN-12 23:59:00': 929, '30-SEP-12 23:59:00': 889, '30-NOV-12 23:59:00': 778, '31-DEC-12 23:59:00': 772, '31-OCT-12 23:59:00': 769, '31-JAN-13 23:59:00': 751, '31-AUG-11 23:59:00': 668, '31-OCT-23 23:59:00': 666}"
INJURIES_DIRECT,integer,0.0,153,"{0: 1631725, 1: 7121, 2: 2492, 3: 1078, 4: 641, 5: 509, 6: 319, 10: 220, 7: 187, 8: 161}"
INJURIES_INDIRECT,integer,0.0,64,"{0: 1643000, 1: 1191, 2: 575, 3: 300, 4: 151, 5: 116, 6: 77, 10: 48, 7: 43, 8: 33}"
DEATHS_DIRECT,integer,0.0,47,"{0: 1635842, 1: 7747, 2: 1237, 3: 364, 4: 170, 5: 85, 6: 72, 8: 38, 7: 34, 10: 21}"
